0.005 22.93496 22.93496
0.0052 20.38221 20.38221
0.00539 18.18561 18.18561
0.00558 16.28743 16.28743
0.00578 14.64032 14.64032
0.00597 13.20528 13.20528
0.00617 11.95012 11.95012
0.00637 10.84816 10.84816
0.00656 9.87721 9.87721
0.00675 9.01873 9.01873
0.00695 8.25717 8.25717
0.00714 7.57945 7.57945
0.00734 6.97452 6.97452
0.00754 6.43299 6.43299
0.00773 5.94687 5.94687
0.00793 5.50935 5.50935
0.00812 5.11456 5.11456
0.00831 4.75748 4.75748
0.00851 4.43374 4.43374
0.00871 4.13959 4.13959
0.0089 3.87176 3.87176
0.00909 3.62739 3.62739
0.00929 3.40399 3.40399
0.00948 3.19938 3.19938
0.00968 3.01164 3.01164
0.00988 2.83909 2.83909
0.01007 2.68022 2.68022
0.01027 2.53372 2.53372
0.01046 2.39843 2.39843
0.01066 2.27329 2.27329
0.01085 2.15737 2.15737
0.01104 2.04986 2.04986
0.01124 1.95 1.95
0.01144 1.85714 1.85714
0.01163 1.77067 1.77067
0.01182 1.69006 1.69006
0.01202 1.61483 1.61483
0.01222 1.54453 1.54453
0.01241 1.47877 1.47877
0.01261 1.41719 1.41719
0.0128 1.35947 1.35947
0.013 1.30531 1.30531
0.01319 1.25444 1.25444
0.01338 1.20662 1.20662
0.01358 1.16163 1.16163
0.01378 1.11925 1.11925
0.01397 1.07931 1.07931
0.01417 1.04163 1.04163
0.01436 1.00605 1.00605
0.01456 0.97243 0.97243
0.01475 0.94064 0.94064
0.01495 0.91056 0.91056
0.01514 0.88207 0.88207
0.01534 0.85507 0.85507
0.01553 0.82946 0.82946
0.01572 0.80515 0.80515
0.01592 0.78207 0.78207
0.01612 0.76014 0.76014
0.01631 0.73928 0.73928
0.01651 0.71944 0.71944
0.0167 0.70055 0.70055
0.0169 0.68255 0.68255
0.01709 0.66539 0.66539
0.01729 0.64903 0.64903
0.01748 0.63341 0.63341
0.01768 0.61851 0.61851
0.01787 0.60426 0.60426
0.01807 0.59065 0.59065
0.01826 0.57763 0.57763
0.01845 0.56518 0.56518
0.01865 0.55325 0.55325
0.01884 0.54184 0.54184
0.01904 0.53089 0.53089
0.01923 0.52041 0.52041
0.01943 0.51035 0.51035
0.01963 0.5007 0.5007
0.01982 0.49143 0.49143
0.02002 0.48253 0.48253
0.02021 0.47399 0.47399
0.02041 0.46577 0.46577
0.0206 0.45787 0.45787
0.0208 0.45027 0.45027
0.02099 0.44296 0.44296
0.02119 0.43592 0.43592
0.02138 0.42914 0.42914
0.02158 0.4226 0.4226
0.02177 0.41631 0.41631
0.02196 0.41024 0.41024
0.02216 0.40438 0.40438
